Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
WA5_RS14210	WA5_RS14210	3028881	3029674	transcription antiterminator	WA5_RS16320 // WA5_RS14220 // WA5_RS14210	WA5_RS16320 // WA5_RS14220 // WA5_RS14210
WA5_RS06795	WA5_RS06795	1428220	1429158	nucleoside hydrolase	WA5_RS06810 // WA5_RS06805 // WA5_RS06800 // WA5_RS06795	WA5_RS06810 // WA5_RS06805 // WA5_RS06800 // WA5_RS06795
WA5_RS10520	WA5_RS10520	2234158	2234766	hypothetical protein	WA5_RS10520	WA5_RS10520
WA5_RS05260	WA5_RS05260	1104099	1106057	VWA domain-containing protein	WA5_RS05265 // WA5_RS05260	WA5_RS05265 // WA5_RS05260
WA5_RS02970	WA5_RS02970	604428	605711	alpha/beta fold hydrolase	WA5_RS02990 // tsaD // rimI // tsaB // WA5_RS02970 // WA5_RS02965	WA5_RS02990 // tsaD // rimI // tsaB // WA5_RS02970 // WA5_RS02965
WA5_RS11215	WA5_RS11215	2387997	2388824	HAD family hydrolase	WA5_RS11220 // WA5_RS11215 // WA5_RS11210	WA5_RS11220 // WA5_RS11215 // WA5_RS11210
rplP	WA5_RS02610	537328	537744	50S ribosomal protein L16	rpsQ // WA5_RS02615 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	rpsQ // WA5_RS02615 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ
dps	WA5_RS15045	3201257	3201754	DNA starvation/stationary phase protection protein Dps	dps	WA5_RS15045
WA5_RS01270	WA5_RS01270	256617	257897	aminotransferase	WA5_RS01280 // WA5_RS01275 // WA5_RS01270	WA5_RS01280 // WA5_RS01275 // WA5_RS01270
WA5_RS03785	WA5_RS03785	799696	800202	hypothetical protein	WA5_RS03785 // WA5_RS03780	WA5_RS03785 // WA5_RS03780
WA5_RS00645	WA5_RS00645	131822	132427	HAD family phosphatase	WA5_RS00650 // WA5_RS00645	WA5_RS00650 // WA5_RS00645
WA5_RS01875	WA5_RS01875	383979	385190	O-antigen ligase family protein	WA5_RS01875	WA5_RS01875
WA5_RS09865	WA5_RS09865	2089214	2089867	4'-phosphopantetheinyl transferase superfamily protein	WA5_RS09870 // WA5_RS09865	WA5_RS09870 // WA5_RS09865
WA5_RS06805	WA5_RS06805	1430655	1431578	ribokinase	WA5_RS06810 // WA5_RS06805 // WA5_RS06800 // WA5_RS06795	WA5_RS06810 // WA5_RS06805 // WA5_RS06800 // WA5_RS06795
treY	WA5_RS10525	2234852	2237287	malto-oligosyltrehalose synthase	treY	WA5_RS10525
WA5_RS05265	WA5_RS05265	1106082	1107455	sigma 54-interacting transcriptional regulator	WA5_RS05265 // WA5_RS05260	WA5_RS05265 // WA5_RS05260
WA5_RS11160	WA5_RS11160	2378696	2378768	tRNA-Val	WA5_RS11160	WA5_RS11160
WA5_RS12355	WA5_RS12355	2622961	2623608	ankyrin repeat domain-containing protein	WA5_RS12355	WA5_RS12355
WA5_RS06840	WA5_RS06840	1437355	1438203	SDR family oxidoreductase	WA5_RS06840	WA5_RS06840
WA5_RS02615	WA5_RS02615	537744	537974	50S ribosomal protein L29	rpsQ // WA5_RS02615 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	rpsQ // WA5_RS02615 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ
WA5_RS15035	WA5_RS15035	3198579	3199124	hypothetical protein	WA5_RS15035	WA5_RS15035
WA5_RS05270	WA5_RS05270	1107502	1108203	histidine phosphatase family protein	WA5_RS05275 // WA5_RS05270	WA5_RS05275 // WA5_RS05270
rsgA	WA5_RS03790	800204	801193	ribosome small subunit-dependent GTPase A	aroA // rsgA	aroA // rsgA
WA5_RS06815	WA5_RS06815	1432890	1433549	hypothetical protein	WA5_RS06815	WA5_RS06815
WA5_RS10545	WA5_RS10545	2240681	2241727	LLM class flavin-dependent oxidoreductase	WA5_RS10545	WA5_RS10545
WA5_RS12160	WA5_RS12160	2586213	2587766	HNH endonuclease	WA5_RS12160	WA5_RS12160
WA5_RS09350	WA5_RS09350	1983980	1984183	hypothetical protein	WA5_RS09355 // WA5_RS09350	WA5_RS09355 // WA5_RS09350
WA5_RS06855	WA5_RS06855	1441789	1442391	MBL fold metallo-hydrolase	WA5_RS06855	WA5_RS06855
WA5_RS08120	WA5_RS08120	1722869	1723828	ABC transporter substrate-binding protein	WA5_RS08125 // WA5_RS08120 // WA5_RS08115	WA5_RS08125 // WA5_RS08120 // WA5_RS08115
WA5_RS07725	WA5_RS07725	1631938	1633326	PFL family protein	WA5_RS07725 // WA5_RS07720	WA5_RS07725 // WA5_RS07720
WA5_RS05275	WA5_RS05275	1108200	1108907	SCO1664 family protein	WA5_RS05275 // WA5_RS05270	WA5_RS05275 // WA5_RS05270
WA5_RS06820	WA5_RS06820	1433599	1433931	hypothetical protein	WA5_RS06820	WA5_RS06820
WA5_RS15040	WA5_RS15040	3199199	3200686	DUF1846 domain-containing protein	WA5_RS15040	WA5_RS15040
WA5_RS11265	WA5_RS11265	2394989	2395065	tRNA-Ile	WA5_RS11265	WA5_RS11265
rpsQ	WA5_RS02620	537977	538255	30S ribosomal protein S17	rpsQ // WA5_RS02615 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	rpsQ // WA5_RS02615 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ
WA5_RS00650	WA5_RS00650	132424	132984	gamma carbonic anhydrase family protein	WA5_RS00650 // WA5_RS00645	WA5_RS00650 // WA5_RS00645
WA5_RS01275	WA5_RS01275	257900	258532	suppressor of fused domain protein	WA5_RS01280 // WA5_RS01275 // WA5_RS01270	WA5_RS01280 // WA5_RS01275 // WA5_RS01270
aroA	WA5_RS03795	801186	802478	3-phosphoshikimate 1-carboxyvinyltransferase	aroA // rsgA	aroA // rsgA
WA5_RS05280	WA5_RS05280	1108992	1109756	oxaloacetate decarboxylase	WA5_RS05285 // WA5_RS05280	WA5_RS05285 // WA5_RS05280
WA5_RS14220	WA5_RS14220	3029699	3030061	glycoside hydrolase family 1 protein	WA5_RS16320 // WA5_RS14220 // WA5_RS14210	WA5_RS16320 // WA5_RS14220 // WA5_RS14210
WA5_RS01880	WA5_RS01880	385371	386195	glycosyltransferase	WA5_RS01880	WA5_RS01880
WA5_RS09870	WA5_RS09870	2089857	2090663	metallophosphoesterase	WA5_RS09870 // WA5_RS09865	WA5_RS09870 // WA5_RS09865
WA5_RS10535	WA5_RS10535	2238691	2239077	hypothetical protein	WA5_RS10535	WA5_RS10535
WA5_RS03040	WA5_RS03040	618090	618995	DMT family transporter	WA5_RS03040	WA5_RS03040
WA5_RS08700	WA5_RS08700	1845482	1845859	hypothetical protein	WA5_RS08705 // WA5_RS08700	WA5_RS08705 // WA5_RS08700
WA5_RS10790	WA5_RS10790	2297878	2298441	GNAT family N-acetyltransferase	WA5_RS10790	WA5_RS10790
WA5_RS12365	WA5_RS12365	2624048	2625358	ISL3-like element IS31831 family transposase	WA5_RS12365	WA5_RS12365
WA5_RS06830	WA5_RS06830	1436334	1436777	universal stress protein	WA5_RS06830	WA5_RS06830
WA5_RS10560	WA5_RS10560	2242411	2243043	YigZ family protein	WA5_RS10560	WA5_RS10560
WA5_RS02625	WA5_RS02625	538378	538647	hypothetical protein	WA5_RS02625	WA5_RS02625
WA5_RS03830	WA5_RS03830	806736	807938	hypothetical protein	WA5_RS03835 // WA5_RS03830	WA5_RS03835 // WA5_RS03830
WA5_RS16320	WA5_RS16320	3030098	3030340	beta-glucosidase	WA5_RS16320 // WA5_RS14220 // WA5_RS14210	WA5_RS16320 // WA5_RS14220 // WA5_RS14210
hisN	WA5_RS03990	841513	842295	histidinol-phosphatase	WA5_RS03995 // hisN	WA5_RS03995 // hisN
WA5_RS06835	WA5_RS06835	1436865	1437248	helix-turn-helix transcriptional regulator	WA5_RS06835	WA5_RS06835
WA5_RS10540	WA5_RS10540	2239505	2240554	hypothetical protein	WA5_RS10540	WA5_RS10540
WA5_RS11275	WA5_RS11275	2396847	2396919	tRNA-Asn	WA5_RS11280 // WA5_RS11275	WA5_RS11280 // WA5_RS11275
WA5_RS15155	WA5_RS15155	3224715	3225554	fumarylacetoacetate hydrolase family protein	WA5_RS15160 // WA5_RS15155 // nagL	WA5_RS15160 // WA5_RS15155 // nagL
WA5_RS07730	WA5_RS07730	1633565	1636243	cation-transporting P-type ATPase	WA5_RS07730	WA5_RS07730
WA5_RS12370	WA5_RS12370	2625600	2625809	hypothetical protein	WA5_RS12370	WA5_RS12370
WA5_RS06845	WA5_RS06845	1438208	1440475	AAA family ATPase	WA5_RS06845	WA5_RS06845
WA5_RS15050	WA5_RS15050	3201906	3202715	Fpg/Nei family DNA glycosylase	WA5_RS15050	WA5_RS15050
WA5_RS03210	WA5_RS03210	656547	657218	metal-dependent transcriptional regulator	WA5_RS03210 // WA5_RS03205 // WA5_RS03200	WA5_RS03210 // WA5_RS03205 // WA5_RS03200
WA5_RS05285	WA5_RS05285	1109791	1111434	ABC-F family ATP-binding cassette domain-containing protein	WA5_RS05285 // WA5_RS05280	WA5_RS05285 // WA5_RS05280
WA5_RS01280	WA5_RS01280	258551	260878	DNA polymerase III subunit gamma and tau	WA5_RS01280 // WA5_RS01275 // WA5_RS01270	WA5_RS01280 // WA5_RS01275 // WA5_RS01270
WA5_RS01885	WA5_RS01885	386556	387203	acetyltransferase	WA5_RS01885	WA5_RS01885
WA5_RS03805	WA5_RS03805	803127	804239	HNH endonuclease	WA5_RS03805	WA5_RS03805
WA5_RS00655	WA5_RS00655	132968	134113	ROK family transcriptional regulator	WA5_RS00655	WA5_RS00655
WA5_RS09875	WA5_RS09875	2090747	2092060	MATE family efflux transporter	rbfA // WA5_RS09880 // WA5_RS09875	rbfA // WA5_RS09880 // WA5_RS09875
WA5_RS11280	WA5_RS11280	2397058	2397130	tRNA-Asn	WA5_RS11280 // WA5_RS11275	WA5_RS11280 // WA5_RS11275
WA5_RS12375	WA5_RS12375	2625806	2626315	hypothetical protein	WA5_RS12375	WA5_RS12375
WA5_RS06850	WA5_RS06850	1440671	1441585	DoxX family protein	WA5_RS06850	WA5_RS06850
WA5_RS15055	WA5_RS15055	3202952	3204103	RtcB family protein	WA5_RS15055	WA5_RS15055
rplN	WA5_RS02635	539741	540109	50S ribosomal protein L14	rplE // rplX // rplN	rplE // rplX // rplN
WA5_RS05290	WA5_RS05290	1111421	1111819	OsmC family protein	WA5_RS05290	WA5_RS05290
WA5_RS03810	WA5_RS03810	804407	805027	sigma-70 family RNA polymerase sigma factor	rsrA // WA5_RS03810	rsrA // WA5_RS03810
WA5_RS09035	WA5_RS09035	1928210	1928383	methyltransferase	WA5_RS09035	WA5_RS09035
WA5_RS09355	WA5_RS09355	1984216	1984452	hypothetical protein	WA5_RS09355 // WA5_RS09350	WA5_RS09355 // WA5_RS09350
WA5_RS12015	WA5_RS12015	2558223	2558296	tRNA-Pro	WA5_RS12015	WA5_RS12015
WA5_RS15060	WA5_RS15060	3204165	3204731	YdcF family protein	WA5_RS15060	WA5_RS15060
WA5_RS08130	WA5_RS08130	1724608	1725438	shikimate dehydrogenase	ruvX // mltG // WA5_RS08130	ruvX // mltG // WA5_RS08130
WA5_RS07735	WA5_RS07735	1636240	1636716	DUF1990 family protein	WA5_RS07735	WA5_RS07735
WA5_RS12380	WA5_RS12380	2626490	2627731	glutaminase	WA5_RS12380	WA5_RS12380
uvrA	WA5_RS06860	1442486	1445335	excinuclease ABC subunit UvrA	uvrA	WA5_RS06860
WA5_RS05295	WA5_RS05295	1111888	1112232	alkylphosphonate utilization protein	WA5_RS05295	WA5_RS05295
WA5_RS12235	WA5_RS12235	2601021	2601094	tRNA-Arg	WA5_RS12235	WA5_RS12235
WA5_RS15070	WA5_RS15070	3205219	3206220	zinc-binding alcohol dehydrogenase family protein	WA5_RS15070 // WA5_RS15065	WA5_RS15070 // WA5_RS15065
rplX	WA5_RS02640	540112	540426	50S ribosomal protein L24	rplE // rplX // rplN	rplE // rplX // rplN
WA5_RS01285	WA5_RS01285	260987	261298	YbaB/EbfC family nucleoid-associated protein	WA5_RS01285	WA5_RS01285
WA5_RS14230	WA5_RS14230	3030723	3031982	pyridoxal phosphate-dependent aminotransferase	WA5_RS14230	WA5_RS14230
WA5_RS00660	WA5_RS00660	134204	135478	MFS transporter	WA5_RS00665 // WA5_RS00660	WA5_RS00665 // WA5_RS00660
lpdA	WA5_RS01890	387692	389101	dihydrolipoyl dehydrogenase	lpdA	WA5_RS01890
WA5_RS09880	WA5_RS09880	2092047	2093045	bifunctional oligoribonuclease/PAP phosphatase NrnA	rbfA // WA5_RS09880 // WA5_RS09875	rbfA // WA5_RS09880 // WA5_RS09875
WA5_RS10555	WA5_RS10555	2242126	2242359	hypothetical protein	WA5_RS10555 // WA5_RS10550	WA5_RS10555 // WA5_RS10550
WA5_RS05300	WA5_RS05300	1112480	1112956	winged helix-turn-helix transcriptional regulator	WA5_RS05300	WA5_RS05300
WA5_RS08550	WA5_RS08550	1808136	1808423	hypothetical protein	WA5_RS08550 // WA5_RS08545	WA5_RS08550 // WA5_RS08545
WA5_RS08850	WA5_RS08850	1878311	1879402	DNA cytosine methyltransferase	WA5_RS08860 // WA5_RS08855 // WA5_RS08850	WA5_RS08860 // WA5_RS08855 // WA5_RS08850
WA5_RS15830	WA5_RS15830	2627776	2628087	LacI family DNA-binding transcriptional regulator	WA5_RS15830	WA5_RS15830
WA5_RS06870	WA5_RS06870	1447791	1448360	translation initiation factor IF-3	rpmI // WA5_RS06870	rpmI // WA5_RS06870
WA5_RS12035	WA5_RS12035	2560608	2560679	tRNA-Gly	WA5_RS12035	WA5_RS12035
WA5_RS15065	WA5_RS15065	3204728	3205204	methylated-DNA--[protein]-cysteine S-methyltransferase	WA5_RS15070 // WA5_RS15065	WA5_RS15070 // WA5_RS15065
rplE	WA5_RS02645	540426	541001	50S ribosomal protein L5	rplE // rplX // rplN	rplE // rplX // rplN
WA5_RS01325	WA5_RS01325	269371	270636	aspartate kinase	WA5_RS01330 // WA5_RS01325	WA5_RS01330 // WA5_RS01325
WA5_RS14245	WA5_RS14245	3035437	3036756	UDP-glucose/GDP-mannose dehydrogenase family protein	WA5_RS14245	WA5_RS14245
WA5_RS03820	WA5_RS03820	805531	805791	WhiB family transcriptional regulator	WA5_RS03820	WA5_RS03820
WA5_RS09195	WA5_RS09195	1959761	1960195	MepB family protein	WA5_RS09195	WA5_RS09195
WA5_RS05305	WA5_RS05305	1113101	1114321	MFS transporter	WA5_RS05305	WA5_RS05305
mltG	WA5_RS08135	1725455	1726624	endolytic transglycosylase MltG	ruvX // mltG // WA5_RS08130	ruvX // mltG // WA5_RS08130
WA5_RS07740	WA5_RS07740	1637080	1638444	HIRAN domain-containing protein	WA5_RS07740	WA5_RS07740
WA5_RS12385	WA5_RS12385	2628002	2628379	LacI family transcriptional regulator	WA5_RS12385	WA5_RS12385
rplT	WA5_RS06880	1448644	1449027	50S ribosomal protein L20	rplT	WA5_RS06880
WA5_RS02650	WA5_RS02650	541108	542082	SGNH/GDSL hydrolase family protein	WA5_RS02650	WA5_RS02650
recR	WA5_RS01290	261402	262058	recombination protein RecR	recR	WA5_RS01290
WA5_RS14240	WA5_RS14240	3034181	3035440	YibE/F family protein	WA5_RS14240	WA5_RS14240
WA5_RS03825	WA5_RS03825	806317	806739	hypothetical protein	WA5_RS03825	WA5_RS03825
WA5_RS00665	WA5_RS00665	135515	136033	hypothetical protein	WA5_RS00665 // WA5_RS00660	WA5_RS00665 // WA5_RS00660
WA5_RS01895	WA5_RS01895	389248	390171	UTP--glucose-1-phosphate uridylyltransferase	ybaK // WA5_RS01895	ybaK // WA5_RS01895
rbfA	WA5_RS09885	2093051	2093500	30S ribosome-binding factor RbfA	rbfA // WA5_RS09880 // WA5_RS09875	rbfA // WA5_RS09880 // WA5_RS09875
WA5_RS06885	WA5_RS06885	1449115	1449927	GIY-YIG nuclease family protein	WA5_RS06885	WA5_RS06885
treZ	WA5_RS10565	2243098	2244822	malto-oligosyltrehalose trehalohydrolase	treZ	WA5_RS10565
WA5_RS05310	WA5_RS05310	1114485	1115795	ISL3-like element IS31831 family transposase	WA5_RS05310	WA5_RS05310
WA5_RS12390	WA5_RS12390	2628439	2628855	substrate-binding domain-containing protein	WA5_RS12390	WA5_RS12390
WA5_RS06890	WA5_RS06890	1450203	1450694	hypothetical protein	WA5_RS06890	WA5_RS06890
WA5_RS02655	WA5_RS02655	542087	542896	aldo/keto reductase	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655
pdxT	WA5_RS03925	831970	832572	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT // pdxS	pdxT // pdxS
WA5_RS09045	WA5_RS09045	1929055	1930878	hypothetical protein	WA5_RS09045	WA5_RS09045
WA5_RS06895	WA5_RS06895	1450890	1451822	sugar ABC transporter permease	WA5_RS06900 // WA5_RS06895	WA5_RS06900 // WA5_RS06895
WA5_RS09360	WA5_RS09360	1984494	1984730	hypothetical protein	WA5_RS09360	WA5_RS09360
ilvA	WA5_RS10570	2244861	2246171	threonine ammonia-lyase IlvA	ilvA	WA5_RS10570
WA5_RS05315	WA5_RS05315	1115828	1116904	cysteine desulfurase	nadA // WA5_RS05320 // WA5_RS05315	nadA // WA5_RS05320 // WA5_RS05315
WA5_RS12245	WA5_RS12245	2602958	2603030	tRNA-His	WA5_RS12245 // WA5_RS12240	WA5_RS12245 // WA5_RS12240
alaS	WA5_RS08145	1727381	1730047	alanine--tRNA ligase	alaS	WA5_RS08145
WA5_RS16385	WA5_RS16385	1639915	1640157	Ltp family lipoprotein	WA5_RS16385	WA5_RS16385
uxaC	WA5_RS12395	2628926	2630482	glucuronate isomerase	uxaC	WA5_RS12395
WA5_RS06900	WA5_RS06900	1451819	1452655	carbohydrate ABC transporter permease	WA5_RS06900 // WA5_RS06895	WA5_RS06900 // WA5_RS06895
WA5_RS15080	WA5_RS15080	3208279	3209457	NADP-dependent malic enzyme	WA5_RS15080	WA5_RS15080
WA5_RS02660	WA5_RS02660	542918	543412	hypothetical protein	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655
WA5_RS01295	WA5_RS01295	262543	263295	type 1 glutamine amidotransferase	WA5_RS01305 // WA5_RS01300 // WA5_RS01295	WA5_RS01305 // WA5_RS01300 // WA5_RS01295
WA5_RS14250	WA5_RS14250	3036842	3037411	dCTP deaminase	WA5_RS14250	WA5_RS14250
WA5_RS00670	WA5_RS00670	136119	136565	hypothetical protein	WA5_RS00670	WA5_RS00670
WA5_RS03835	WA5_RS03835	807942	809216	DEAD/DEAH box helicase	WA5_RS03835 // WA5_RS03830	WA5_RS03835 // WA5_RS03830
ybaK	WA5_RS01900	390212	390733	Cys-tRNA(Pro) deacylase	ybaK // WA5_RS01895	ybaK // WA5_RS01895
infB	WA5_RS09890	2093708	2096722	translation initiation factor IF-2	infB	WA5_RS09890
WA5_RS06905	WA5_RS06905	1452757	1454073	ABC transporter substrate-binding protein	ugpC // WA5_RS06905	ugpC // WA5_RS06905
WA5_RS11225	WA5_RS11225	2390431	2390859	hypothetical protein	WA5_RS11225	WA5_RS11225
WA5_RS05320	WA5_RS05320	1116904	1117743	carboxylating nicotinate-nucleotide diphosphorylase	nadA // WA5_RS05320 // WA5_RS05315	nadA // WA5_RS05320 // WA5_RS05315
WA5_RS12345	WA5_RS12345	2622648	2622723	tRNA-Lys	WA5_RS12350 // WA5_RS12345	WA5_RS12350 // WA5_RS12345
WA5_RS08705	WA5_RS08705	1845871	1846209	DUF4406 domain-containing protein	WA5_RS08705 // WA5_RS08700	WA5_RS08705 // WA5_RS08700
WA5_RS12400	WA5_RS12400	2630636	2631139	gluconokinase	WA5_RS12400	WA5_RS12400
ugpC	WA5_RS06910	1454114	1455340	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC // WA5_RS06905	ugpC // WA5_RS06905
WA5_RS15085	WA5_RS15085	3209702	3211186	gluconokinase	WA5_RS15085	WA5_RS15085
fdhD	WA5_RS02665	543412	544329	formate dehydrogenase accessory sulfurtransferase FdhD	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655
WA5_RS16095	WA5_RS16095	3037675	3037914	hypothetical protein	WA5_RS16095	WA5_RS16095
WA5_RS03840	WA5_RS03840	809285	809512	DUF3107 domain-containing protein	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840
WA5_RS06915	WA5_RS06915	1455346	1456053	glycerophosphoryl diester phosphodiesterase	WA5_RS06915	WA5_RS06915
WA5_RS10580	WA5_RS10580	2247003	2248208	cobalamin-independent methionine synthase II family protein	WA5_RS10580	WA5_RS10580
nadA	WA5_RS05325	1117747	1119033	quinolinate synthase NadA	nadA // WA5_RS05320 // WA5_RS05315	nadA // WA5_RS05320 // WA5_RS05315
WA5_RS12350	WA5_RS12350	2622811	2622883	tRNA-Lys	WA5_RS12350 // WA5_RS12345	WA5_RS12350 // WA5_RS12345
WA5_RS08150	WA5_RS08150	1730162	1731541	replication-associated recombination protein A	WA5_RS08150	WA5_RS08150
WA5_RS07755	WA5_RS07755	1640566	1641003	tyrosine-type recombinase/integrase	WA5_RS07755	WA5_RS07755
WA5_RS12405	WA5_RS12405	2631303	2632469	HNH endonuclease	WA5_RS12405	WA5_RS12405
WA5_RS06920	WA5_RS06920	1456135	1456950	RNA methyltransferase	WA5_RS06920	WA5_RS06920
WA5_RS16080	WA5_RS16080	2997295	2997879	winged helix-turn-helix domain-containing protein	WA5_RS16080	WA5_RS16080
WA5_RS15095	WA5_RS15095	3211901	3212512	VanZ family protein	WA5_RS15095	WA5_RS15095
WA5_RS02670	WA5_RS02670	544332	544640	hypothetical protein	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655	WA5_RS02670 // fdhD // WA5_RS02660 // WA5_RS02655
WA5_RS00675	WA5_RS00675	136804	138747	membrane protein	WA5_RS00675	WA5_RS00675
WA5_RS01300	WA5_RS01300	263295	264566	Mur ligase family protein	WA5_RS01305 // WA5_RS01300 // WA5_RS01295	WA5_RS01305 // WA5_RS01300 // WA5_RS01295
WA5_RS14260	WA5_RS14260	3038172	3038945	HtaA domain-containing protein	WA5_RS14260	WA5_RS14260
WA5_RS05330	WA5_RS05330	1119082	1119726	NUDIX hydrolase	WA5_RS05330	WA5_RS05330
WA5_RS03845	WA5_RS03845	809548	810396	DUF3152 domain-containing protein	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840
ramB	WA5_RS01905	390784	392208	acetate metabolism transcriptional regulator RamB	ramB	WA5_RS01905
WA5_RS09895	WA5_RS09895	2096840	2097178	YlxR family protein	WA5_RS09895	WA5_RS09895
pheS	WA5_RS06925	1457031	1458068	phenylalanine--tRNA ligase subunit alpha	WA5_RS06930 // pheS	WA5_RS06930 // pheS
dnaE	WA5_RS10585	2248355	2251921	DNA polymerase III subunit alpha	dnaE	WA5_RS10585
WA5_RS12470	WA5_RS12470	2650247	2650328	tRNA-Leu	WA5_RS12470	WA5_RS12470
WA5_RS15100	WA5_RS15100	3212636	3213934	FAD-dependent oxidoreductase	WA5_RS15100	WA5_RS15100
WA5_RS05335	WA5_RS05335	1119883	1120806	DMT family transporter	WA5_RS05335	WA5_RS05335
WA5_RS12410	WA5_RS12410	2632543	2633103	isochorismatase family protein	WA5_RS12410	WA5_RS12410
WA5_RS15115	WA5_RS15115	3216883	3217215	VWA domain-containing protein	WA5_RS15115	WA5_RS15115
WA5_RS02675	WA5_RS02675	544754	547042	FdhF/YdeP family oxidoreductase	WA5_RS02675	WA5_RS02675
WA5_RS14265	WA5_RS14265	3038990	3040681	VanW family protein	WA5_RS14265	WA5_RS14265
WA5_RS03850	WA5_RS03850	810404	811165	TIGR02569 family protein	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840
WA5_RS09055	WA5_RS09055	1931417	1931887	hypothetical protein	WA5_RS09055	WA5_RS09055
WA5_RS06935	WA5_RS06935	1461156	1462130	SGNH/GDSL hydrolase family protein	WA5_RS06945 // WA5_RS06940 // WA5_RS06935	WA5_RS06945 // WA5_RS06940 // WA5_RS06935
WA5_RS09365	WA5_RS09365	1985091	1985366	hypothetical protein	WA5_RS09365	WA5_RS09365
WA5_RS07760	WA5_RS07760	1641042	1642673	ABC-F family ATP-binding cassette domain-containing protein	WA5_RS07760	WA5_RS07760
WA5_RS05340	WA5_RS05340	1120829	1121431	MBL fold metallo-hydrolase	WA5_RS05350 // WA5_RS05345 // WA5_RS05340	WA5_RS05350 // WA5_RS05345 // WA5_RS05340
WA5_RS12415	WA5_RS12415	2633143	2633418	DUF3618 domain-containing protein	WA5_RS12415	WA5_RS12415
WA5_RS06940	WA5_RS06940	1462133	1463518	acyltransferase	WA5_RS06945 // WA5_RS06940 // WA5_RS06935	WA5_RS06945 // WA5_RS06940 // WA5_RS06935
WA5_RS12675	WA5_RS12675	2687228	2687300	tRNA-Ala	WA5_RS12675	WA5_RS12675
WA5_RS02680	WA5_RS02680	547458	548087	hypothetical protein	WA5_RS02680	WA5_RS02680
WA5_RS00680	WA5_RS00680	138791	140332	hypothetical protein	WA5_RS00690 // WA5_RS00685 // WA5_RS00680	WA5_RS00690 // WA5_RS00685 // WA5_RS00680
WA5_RS01305	WA5_RS01305	264596	265678	DNA polymerase III subunit epsilon	WA5_RS01305 // WA5_RS01300 // WA5_RS01295	WA5_RS01305 // WA5_RS01300 // WA5_RS01295
WA5_RS14270	WA5_RS14270	3040745	3041902	glycoside hydrolase family 3 protein	WA5_RS14270	WA5_RS14270
WA5_RS03855	WA5_RS03855	811169	814219	ATP-dependent helicase	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840	WA5_RS03875 // WA5_RS03870 // WA5_RS03865 // WA5_RS03860 // WA5_RS03855 // WA5_RS03850 // WA5_RS03845 // WA5_RS03840
WA5_RS01910	WA5_RS01910	392705	393478	succinate dehydrogenase cytochrome b subunit	WA5_RS01920 // WA5_RS01915 // WA5_RS01910	WA5_RS01920 // WA5_RS01915 // WA5_RS01910
WA5_RS12425	WA5_RS12425	2634089	2634754	TetR family transcriptional regulator	WA5_RS12425 // bcp	WA5_RS12425 // bcp
WA5_RS06945	WA5_RS06945	1463532	1463936	hypothetical protein	WA5_RS06945 // WA5_RS06940 // WA5_RS06935	WA5_RS06945 // WA5_RS06940 // WA5_RS06935
WA5_RS10595	WA5_RS10595	2253192	2253662	transporter substrate-binding domain-containing protein	WA5_RS10600 // WA5_RS10595	WA5_RS10600 // WA5_RS10595
